0,29,82,46,68,52,72,50,51,55,29,74,23,72,57
33,0,55,46,42,43,43,23,33,31,29,51,11,52,21
21,57,0,68,46,55,24,43,41,29,79,21,64,31,51
46,48,68,0,82,17,72,31,45,42,21,45,52,43,64
68,42,46,82,0,71,23,55,21,67,82,58,46,65,23
60,43,55,15,74,0,61,23,55,31,33,37,51,29,59
72,43,23,72,23,55,0,42,23,31,77,37,54,46,33
42,45,43,31,52,23,60,0,33,15,37,33,33,41,37
50,23,41,62,21,55,23,33,0,29,62,63,22,51,11
53,33,29,42,46,31,31,15,24,0,51,21,41,23,40
25,41,80,21,90,31,77,37,62,51,0,67,42,59,61
74,51,21,51,58,37,32,33,46,21,65,0,66,11,55
26,32,64,51,46,51,51,33,29,41,42,53,0,66,23
70,52,11,43,65,29,46,31,51,23,59,7,62,0,59
46,21,51,64,23,59,33,33,9,37,61,55,20,65,0
